year,province,category,score,rank_start,rank_end,count
2025,Hunan,Physics,689,54,64,11
2025,Hunan,Physics,688,65,73,9
2025,Hunan,Physics,687,74,80,7
2025,Hunan,Physics,686,81,88,8
2025,Hunan,Physics,685,89,98,10
2025,Hunan,Physics,684,99,114,16
2025,Hunan,Physics,683,115,125,11
2025,Hunan,Physics,682,126,147,22
2025,Hunan,Physics,681,148,166,19
2025,Hunan,Physics,680,167,185,19
2025,Hunan,Physics,679,186,206,21
2025,Hunan,Physics,678,207,235,29
2025,Hunan,Physics,677,236,272,37
2025,Hunan,Physics,676,273,297,25
2025,Hunan,Physics,675,298,331,34
2025,Hunan,Physics,674,332,372,41
2025,Hunan,Physics,673,373,420,48
2025,Hunan,Physics,672,421,453,33
2025,Hunan,Physics,671,454,497,44
2025,Hunan,Physics,670,498,546,49
2025,Hunan,Physics,669,547,587,41
2025,Hunan,Physics,668,588,637,50
2025,Hunan,Physics,667,638,689,52
2025,Hunan,Physics,666,690,741,52
2025,Hunan,Physics,665,742,825,84
2025,Hunan,Physics,664,826,887,62
2025,Hunan,Physics,663,888,938,51
2025,Hunan,Physics,662,939,1014,76
2025,Hunan,Physics,661,1015,1088,74
2025,Hunan,Physics,660,1089,1175,87
2025,Hunan,Physics,659,1176,1269,94
2025,Hunan,Physics,658,1270,1368,99
2025,Hunan,Physics,657,1369,1460,92
2025,Hunan,Physics,656,1461,1566,106
2025,Hunan,Physics,655,1567,1665,99
2025,Hunan,Physics,654,1666,1785,120
2025,Hunan,Physics,653,1786,1888,103
2025,Hunan,Physics,652,1889,1984,96
2025,Hunan,Physics,651,1985,2091,107
2025,Hunan,Physics,650,2092,2208,117
2025,Hunan,Physics,649,2209,2346,138
2025,Hunan,Physics,648,2347,2481,135
2025,Hunan,Physics,647,2482,2614,133
2025,Hunan,Physics,646,2615,2766,152
2025,Hunan,Physics,645,2767,2936,170
2025,Hunan,Physics,644,2937,3097,161
2025,Hunan,Physics,643,3098,3272,175
2025,Hunan,Physics,642,3273,3456,184
2025,Hunan,Physics,641,3457,3617,161
2025,Hunan,Physics,640,3618,3787,170
2025,Hunan,Physics,639,3788,3975,188
2025,Hunan,Physics,638,3976,4156,181
2025,Hunan,Physics,637,4157,4322,166
2025,Hunan,Physics,636,4323,4516,194
2025,Hunan,Physics,635,4517,4716,200
2025,Hunan,Physics,634,4717,4926,210
2025,Hunan,Physics,633,4927,5154,228
2025,Hunan,Physics,632,5155,5402,248
2025,Hunan,Physics,631,5403,5624,222
2025,Hunan,Physics,630,5625,5842,218
2025,Hunan,Physics,629,5843,6094,252
2025,Hunan,Physics,628,6095,6359,265
2025,Hunan,Physics,627,6360,6601,242
2025,Hunan,Physics,626,6602,6870,269
2025,Hunan,Physics,625,6871,7140,270
2025,Hunan,Physics,624,7141,7431,291
2025,Hunan,Physics,623,7432,7713,282
2025,Hunan,Physics,622,7714,8008,295
2025,Hunan,Physics,621,8009,8307,299
2025,Hunan,Physics,620,8308,8598,291
2025,Hunan,Physics,619,8599,8897,299
2025,Hunan,Physics,618,8898,9205,308
2025,Hunan,Physics,617,9206,9530,325
2025,Hunan,Physics,616,9531,9830,300
2025,Hunan,Physics,615,9831,10149,319
2025,Hunan,Physics,614,10150,10468,319
2025,Hunan,Physics,613,10469,10797,329
2025,Hunan,Physics,612,10798,11151,354
2025,Hunan,Physics,611,11152,11512,361
2025,Hunan,Physics,610,11513,11873,361
2025,Hunan,Physics,609,11874,12245,372
2025,Hunan,Physics,608,12246,12636,391
2025,Hunan,Physics,607,12637,13036,400
2025,Hunan,Physics,606,13037,13439,403
2025,Hunan,Physics,605,13440,13804,365
2025,Hunan,Physics,604,13805,14233,429
2025,Hunan,Physics,603,14234,14618,385
2025,Hunan,Physics,602,14619,15016,398
2025,Hunan,Physics,601,15017,15422,406
2025,Hunan,Physics,600,15423,15860,438
2025,Hunan,Physics,599,15861,16296,436
2025,Hunan,Physics,598,16297,16754,458
2025,Hunan,Physics,597,16755,17176,422
2025,Hunan,Physics,596,17177,17619,443
2025,Hunan,Physics,595,17620,18050,431
2025,Hunan,Physics,594,18051,18532,482
2025,Hunan,Physics,593,18533,19030,498
2025,Hunan,Physics,592,19031,19542,512
2025,Hunan,Physics,591,20004,20503,500
2025,Hunan,Physics,590,20504,20981,478
2025,Hunan,Physics,589,20982,21502,521
2025,Hunan,Physics,588,21503,22001,499
2025,Hunan,Physics,587,22002,22506,505
2025,Hunan,Physics,586,22507,23041,535
2025,Hunan,Physics,585,23042,23577,536
2025,Hunan,Physics,584,23578,24083,506
2025,Hunan,Physics,583,24084,24579,496
2025,Hunan,Physics,582,24580,25122,543
