year,province,category,score,rank_start,rank_end,count
2026,Hunan,History,656,53,58,6
2026,Hunan,History,655,59,66,8
2026,Hunan,History,654,67,73,7
2026,Hunan,History,653,74,81,8
2026,Hunan,History,652,82,90,9
2026,Hunan,History,651,91,97,7
2026,Hunan,History,650,98,109,12
2026,Hunan,History,649,110,119,10
2026,Hunan,History,648,120,127,8
2026,Hunan,History,647,128,136,9
2026,Hunan,History,646,137,146,10
2026,Hunan,History,645,147,158,12
2026,Hunan,History,644,159,173,15
2026,Hunan,History,643,174,189,16
2026,Hunan,History,642,190,198,9
2026,Hunan,History,641,199,211,13
2026,Hunan,History,640,212,226,15
2026,Hunan,History,639,227,244,18
2026,Hunan,History,638,245,272,28
2026,Hunan,History,637,273,288,16
2026,Hunan,History,636,289,313,25
2026,Hunan,History,635,314,338,25
2026,Hunan,History,634,339,360,22
2026,Hunan,History,633,361,396,36
2026,Hunan,History,632,397,421,25
2026,Hunan,History,631,422,438,17
2026,Hunan,History,630,439,465,27
2026,Hunan,History,629,466,496,31
2026,Hunan,History,628,497,524,28
2026,Hunan,History,627,525,569,45
2026,Hunan,History,626,570,595,26
2026,Hunan,History,625,596,629,34
2026,Hunan,History,624,630,667,38
2026,Hunan,History,623,668,711,44
2026,Hunan,History,622,712,752,41
2026,Hunan,History,621,753,800,48
2026,Hunan,History,620,801,847,47
2026,Hunan,History,619,848,894,47
2026,Hunan,History,618,895,940,46
2026,Hunan,History,617,941,992,52
2026,Hunan,History,616,993,1031,39
2026,Hunan,History,615,1032,1077,46
2026,Hunan,History,614,1078,1128,51
2026,Hunan,History,613,1129,1188,60
2026,Hunan,History,612,1189,1249,61
2026,Hunan,History,611,1250,1328,79
2026,Hunan,History,610,1329,1384,56
2026,Hunan,History,609,1385,1454,70
2026,Hunan,History,608,1455,1518,64
2026,Hunan,History,607,1519,1589,71
2026,Hunan,History,606,1590,1651,62
2026,Hunan,History,605,1652,1737,86
2026,Hunan,History,604,1738,1811,74
2026,Hunan,History,603,1812,1904,93
2026,Hunan,History,602,1905,1983,79
2026,Hunan,History,601,1984,2064,81
2026,Hunan,History,600,2065,2139,75
2026,Hunan,History,599,2140,2229,90
2026,Hunan,History,598,2230,2314,85
2026,Hunan,History,597,2315,2396,82
2026,Hunan,History,596,2397,2482,86
2026,Hunan,History,595,2483,2584,102
2026,Hunan,History,594,2585,2687,103
2026,Hunan,History,593,2688,2790,103
2026,Hunan,History,592,2791,2898,108
2026,Hunan,History,591,2899,3007,109
2026,Hunan,History,590,3008,3120,113
2026,Hunan,History,589,3121,3213,93
2026,Hunan,History,588,3214,3306,93
2026,Hunan,History,587,3307,3428,122
2026,Hunan,History,586,3429,3550,122
2026,Hunan,History,585,3551,3671,121
2026,Hunan,History,584,3672,3808,137
2026,Hunan,History,583,3809,3944,136
2026,Hunan,History,582,3945,4086,142
2026,Hunan,History,581,4087,4220,134
2026,Hunan,History,580,4221,4360,140
2026,Hunan,History,579,4361,4510,150
2026,Hunan,History,578,4511,4642,132
2026,Hunan,History,577,4643,4782,140
2026,Hunan,History,576,4783,4943,161
2026,Hunan,History,575,4944,5107,164
2026,Hunan,History,574,5108,5247,140
2026,Hunan,History,573,5248,5419,172
2026,Hunan,History,572,5420,5597,178
2026,Hunan,History,571,5598,5766,169
2026,Hunan,History,570,5767,5960,194
2026,Hunan,History,569,5961,6112,152
2026,Hunan,History,568,6113,6289,177
2026,Hunan,History,567,6290,6457,168
2026,Hunan,History,566,6458,6642,185
2026,Hunan,History,565,6643,6841,199
2026,Hunan,History,564,6842,7013,172
2026,Hunan,History,563,7014,7206,193
2026,Hunan,History,562,7207,7405,199
2026,Hunan,History,561,7406,7594,189
2026,Hunan,History,560,7595,7763,169
2026,Hunan,History,559,7764,7973,210
2026,Hunan,History,558,7974,8195,222
2026,Hunan,History,557,8196,8394,199
2026,Hunan,History,556,8395,8591,197
2026,Hunan,History,555,8592,8807,216
2026,Hunan,History,554,8808,9019,212
2026,Hunan,History,553,9020,9283,264
2026,Hunan,History,552,9284,9505,222
2026,Hunan,History,551,9506,9747,242
2026,Hunan,History,550,9748,9981,234
2026,Hunan,History,549,9982,10184,203
2026,Hunan,History,548,10185,10417,233
2026,Hunan,History,547,10418,10640,223
2026,Hunan,History,546,10641,10887,247
2026,Hunan,History,545,10888,11109,222
2026,Hunan,History,544,11110,11366,257
2026,Hunan,History,543,11367,11663,297
2026,Hunan,History,542,11664,11935,272
2026,Hunan,History,541,11936,12180,245
2026,Hunan,History,540,12181,12465,285
2026,Hunan,History,539,12466,12736,271
2026,Hunan,History,538,12737,12996,260
2026,Hunan,History,537,12997,13269,273
2026,Hunan,History,536,13270,13532,263
2026,Hunan,History,535,13533,13830,298
2026,Hunan,History,534,13831,14135,305
2026,Hunan,History,533,14136,14425,290
2026,Hunan,History,532,14426,14735,310
2026,Hunan,History,531,14736,15020,285
2026,Hunan,History,530,15021,15344,324
2026,Hunan,History,529,15345,15650,306
2026,Hunan,History,528,15651,15975,325
2026,Hunan,History,527,15976,16299,324
2026,Hunan,History,526,16300,16594,295
2026,Hunan,History,525,16595,16953,359
2026,Hunan,History,524,16954,17266,313
2026,Hunan,History,523,17267,17596,330
2026,Hunan,History,522,17597,17953,357
2026,Hunan,History,521,17954,18311,358
2026,Hunan,History,520,18312,18655,344
2026,Hunan,History,519,18656,18983,328
2026,Hunan,History,518,18984,19310,327
2026,Hunan,History,517,19311,19659,349
2026,Hunan,History,516,19660,19992,333
2026,Hunan,History,515,19993,20359,367
2026,Hunan,History,514,20360,20756,397
2026,Hunan,History,513,20757,21122,366
2026,Hunan,History,512,21123,21509,387
2026,Hunan,History,511,21510,21889,380
2026,Hunan,History,510,21890,22262,373
2026,Hunan,History,509,22263,22646,384
2026,Hunan,History,508,22647,23024,378
2026,Hunan,History,507,23025,23446,422
2026,Hunan,History,506,23447,23847,401
2026,Hunan,History,505,23848,24255,408
2026,Hunan,History,504,24256,24643,388
2026,Hunan,History,503,24644,25062,419
2026,Hunan,History,502,25063,25454,392
2026,Hunan,History,501,25455,25904,450
2026,Hunan,History,500,25905,26316,412
2026,Hunan,History,499,26317,26712,396
2026,Hunan,History,498,26713,27149,437
2026,Hunan,History,497,27150,27526,377
2026,Hunan,History,496,27527,27976,450
2026,Hunan,History,495,27977,28460,484
2026,Hunan,History,494,28461,28889,429
2026,Hunan,History,493,28890,29319,430
2026,Hunan,History,492,29320,29791,472
2026,Hunan,History,491,29792,30222,431
2026,Hunan,History,490,30223,30658,436
2026,Hunan,History,489,30659,31127,469
2026,Hunan,History,488,31128,31579,452
2026,Hunan,History,487,31580,32036,457
2026,Hunan,History,486,32037,32515,479
2026,Hunan,History,485,32516,32993,478
2026,Hunan,History,484,32994,33479,486
2026,Hunan,History,483,33480,33956,477
2026,Hunan,History,482,33957,34455,499
2026,Hunan,History,481,34456,34942,487
2026,Hunan,History,480,34943,35430,488
2026,Hunan,History,479,35431,35897,467
2026,Hunan,History,478,35898,36358,461
2026,Hunan,History,477,36359,36839,481
2026,Hunan,History,476,36840,37354,515
2026,Hunan,History,475,37355,37811,457
2026,Hunan,History,474,37812,38295,484
2026,Hunan,History,473,38296,38772,477
2026,Hunan,History,472,38773,39279,507
2026,Hunan,History,471,39280,39748,469
2026,Hunan,History,470,39749,40246,498
2026,Hunan,History,469,40247,40715,469
2026,Hunan,History,468,40716,41230,515
2026,Hunan,History,467,41231,41718,488
2026,Hunan,History,466,41719,42223,505
2026,Hunan,History,465,42224,42744,521
2026,Hunan,History,464,42745,43248,504
2026,Hunan,History,463,43249,43807,559
2026,Hunan,History,462,43808,44303,496
2026,Hunan,History,461,44304,44851,548
2026,Hunan,History,460,44852,45390,539
2026,Hunan,History,459,45391,45929,539
2026,Hunan,History,458,45930,46446,517
2026,Hunan,History,457,46447,47020,574
2026,Hunan,History,456,47021,47549,529
2026,Hunan,History,455,47550,48082,533
2026,Hunan,History,454,48083,48625,543
2026,Hunan,History,453,48626,49140,515
2026,Hunan,History,452,49141,49655,515
2026,Hunan,History,451,49656,50193,538
2026,Hunan,History,450,50194,50724,531
2026,Hunan,History,449,50725,51253,529
2026,Hunan,History,448,51254,51790,537
2026,Hunan,History,447,51791,52321,531
2026,Hunan,History,446,52322,52831,510
2026,Hunan,History,445,52832,53361,530
2026,Hunan,History,444,53362,53887,526
2026,Hunan,History,443,53888,54469,582
